,index,brand_name,model_name,price,rating,generation,number_of_cores,number_of_threads,RAM (in GB),Data_rate,hardware_type,SSD (in GB),Graphic_cards,resolution (in Pixels),touch_screen,display (in inches),OS,warranty
110,110,Asus,Asus Vivobook Pro 15 M6500IH-HN701WS Laptop ,59990,68.0,4th,8,16,16,DDR4,AMD Ryzen 7  4800H,512.0,4 GB NVIDIA GeForce GTX 1650 Max Q, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
111,111,MSI,MSI Bravo 15 B5DD-410IN Gaming Laptop ,49990,64.0,5th,6,12,8,DDR4,AMD Ryzen 5  5600H,512.0,4 GB AMD Radeon RX 5500M, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
112,112,Lenovo,Lenovo IdeaPad Gaming 3 82K201Y9IN Laptop ,53990,68.0,5th,6,12,8,DDR4,AMD Ryzen 5  5600H,1024.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,
113,113,Asus,Asus VivoBook 15 X515EA-EJ522WS Laptop ,44990,60.0,11th,4,8,8,DDR4,Intel Core i5 1135G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
114,114,Acer,Acer Aspire 7 A715-42G UN.QAYSI.006 Gaming Laptop ,59500,67.0,5th,6,12,16,DDR4,AMD Ryzen 5  5500U,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
115,115,HP,HP 15s-du3614TU Laptop ,38249,65.0,11th,2,4,8,DDR4,Intel Core i3 1115G4,1024.0,Intel Integrated UHD, 1920 x 1080 ,No,15.6,Windows 11,
116,116,HP,HP Pavilion 15s-eq2182AU Laptop ,49990,60.0,5th,6,12,16,DDR4,AMD Ryzen 5  5500U,512.0,AMD Radeon Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
117,117,HP,HP Victus 15-fa0165TX Laptop ,67140,72.0,12th,8,12,8,DDR4,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
118,118,Lenovo,Lenovo IdeaPad Slim 3 82RK0062IN Laptop ,55400,,12th,10,12,8,,Intel Core i5 1235U,512.0,‎Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
119,119,Lenovo,Lenovo IdeaPad Gaming 3 82K201ULIN Laptop ,68990,74.0,5th,6,12,16,DDR4,AMD Ryzen 5  5600H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
120,120,Asus,Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming Laptop ,73990,66.0,12th,8,12,8,DDR5,Intel Core i5 12450H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
121,121,Asus,Asus Eeebook 15 E510MA-EJ011WS Laptop ,24990,,,2,2,8,DDR4,,256.0,Intel UHD Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
122,122,HP,HP Pavilion 14-dv2041TU Laptop ,67300,61.0,12th,10,12,16,DDR4,Intel Core i5 1235U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
123,123,HP,HP Pavilion 15s-fq5010TU Laptop ,57990,61.0,12th,12,16,8,DDR4,Intel Core i5 1240P,512.0,Intel Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
124,124,Dell,Dell G15-5530 Gaming 2023 Laptop ,149290,76.0,13th,14,,16,DDR5,Intel Core i7 13650HX,512.0,8 GB NVIDIA GeForce RTX 4060, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
125,125,Asus,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop ,68990,62.0,12th,12,16,16,DDR4,Intel Core i5 12500H,512.0,Intel Iris Xe Graphics, 2880 x 1800 ,No,14,Windows 11,1 Year Warranty
126,126,Dell,Dell G15-5520 Laptop ,75490,66.0,12th,12,16,16,DDR5,Intel Core i5 12500H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
127,127,HP,HP Pavilion 15-eg2009TU Laptop ,64990,62.0,12th,12,16,8,DDR4,Intel Core i5 1240P,512.0,Intel Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
128,128,Asus,Asus VivoBook K15 OLED KM513UA-L511WS Laptop ,47990,60.0,5th,6,12,16,DDR4,AMD Ryzen 5  5500U,512.0,AMD Radeon AMD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
129,129,Jio,Jio JioBook NB1112MM Notebook ,21999,,,8,,2,,,64.0,Arm Mali-G72 MP3, 1366 x 768 ,No,14,Android 11,1 Year Warranty
130,130,Dell,Dell Inspiron 3511 Laptop ,67900,65.0,11th,4,8,8,DDR4,Intel Core i5 1135G7,1024.0,2 GB NVIDIA GeForce MX350, 1920 x 1080 ,No,15.6,Windows 10,
131,131,Xiaomi,Xiaomi Mi Notebook Ultra Laptop ,55999,65.0,11th,4,8,16,DDR4,Intel Core i5 11300H,512.0,Intel Iris Xe Graphics, 3200 x 2000 ,No,15.6,Windows 10 ,1 Year Warranty
132,132,Asus,Asus Chromebooks C523NA-A20303 Laptop ,18990,,,2,2,4,LPDDR4X,,64.0,Intel Integrated HD 500, 1920 x 1080 ,Yes,15.6,Chrome,1 Year Warranty
133,133,Dell,Dell Latitude 3420 Laptop ,77400,60.0,11th,4,8,8,DDR4,Intel Core i5 1135G7,512.0,Intel Iris Xe Graphics, 1366 x 768 ,No,14,Windows 10 ,1 Year Warranty
134,134,Asus,Asus Vivobook 15 X515EA-EJ542WS Laptop ,62990,,11th,4,8,16,DDR4,Intel Core i5 1135G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
135,135,HP,HP ProBook 445 G8 7K2J8PA Business Laptop ,49990,63.0,5th,8,16,8,DDR4,AMD Ryzen 7 5800U,512.0,AMD Radeon, 1920 x 1080 ,No,14,DOS,1 Year Warranty
136,136,Dell,Dell Inspiron 3530 IN3530NM1NN001ORS1 Laptop ,63601,,13th,10,12,8,DDR4,Intel Core i5 1335U,512.0,Intel Integrated UHD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
137,137,HP,HP Pavilion x360 14-ek1020TU Laptop ,90500,71.0,13th,10,12,16,DDR4,Intel Core i7 1355U,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,Yes,14,Windows 11,1 Year Warranty
